Time (S),Voltage (V)
7.360000000000001e-06,12.827532800000002
7.3800000000000005e-06,12.827532800000002
7.4e-06,12.827532800000002
7.42e-06,12.827532800000002
7.44e-06,12.827532800000002
7.46e-06,12.827532800000002
7.4799999999999995e-06,13.452531200000001
7.499999999999999e-06,13.140032000000001
7.520000000000001e-06,13.140032000000001
7.540000000000001e-06,13.140032000000001
7.5600000000000005e-06,12.827532800000002
7.58e-06,13.140032000000001
7.6e-06,12.827532800000002
7.62e-06,13.452531200000001
7.64e-06,13.452531200000001
7.66e-06,13.452531200000001
7.680000000000001e-06,13.452531200000001
7.7e-06,13.452531200000001
7.72e-06,13.452531200000001
7.74e-06,13.7650304
7.76e-06,13.452531200000001
7.78e-06,13.452531200000001
7.8e-06,13.7650304
7.82e-06,13.7650304
7.84e-06,13.452531200000001
7.860000000000001e-06,13.452531200000001
7.88e-06,13.7650304
7.9e-06,13.7650304
7.92e-06,13.452531200000001
7.94e-06,13.7650304
7.96e-06,13.7650304
7.98e-06,14.077529600000002
8e-06,13.7650304
8.02e-06,14.390028800000001
8.040000000000001e-06,13.7650304
8.06e-06,14.390028800000001
8.08e-06,14.077529600000002
8.1e-06,14.390028800000001
8.12e-06,14.077529600000002
8.14e-06,14.077529600000002
8.16e-06,14.077529600000002
8.18e-06,14.390028800000001
8.2e-06,14.390028800000001
8.220000000000001e-06,14.390028800000001
8.24e-06,14.390028800000001
8.26e-06,14.390028800000001
8.28e-06,14.390028800000001
8.3e-06,14.077529600000002
8.32e-06,14.390028800000001
8.34e-06,14.077529600000002
8.36e-06,14.390028800000001
8.38e-06,14.390028800000001
8.400000000000001e-06,13.7650304
8.42e-06,13.7650304
8.44e-06,14.077529600000002
8.46e-06,13.7650304
8.48e-06,14.390028800000001
8.5e-06,14.077529600000002
8.52e-06,14.077529600000002
8.54e-06,14.077529600000002
8.56e-06,14.390028800000001
8.580000000000001e-06,14.077529600000002
8.6e-06,14.390028800000001
8.62e-06,14.390028800000001
8.64e-06,14.077529600000002
8.66e-06,14.077529600000002
8.68e-06,13.7650304
8.7e-06,13.7650304
8.72e-06,13.452531200000001
8.740000000000001e-06,13.7650304
8.76e-06,13.7650304
8.78e-06,13.7650304
8.8e-06,13.7650304
8.82e-06,13.7650304
8.84e-06,13.7650304
8.86e-06,13.7650304
8.88e-06,13.452531200000001
8.9e-06,13.7650304
8.920000000000001e-06,12.827532800000002
8.94e-06,13.7650304
8.96e-06,12.827532800000002
8.98e-06,13.452531200000001
9e-06,13.452531200000001
9.02e-06,13.452531200000001
9.04e-06,12.827532800000002
9.06e-06,12.827532800000002
9.08e-06,13.452531200000001
9.100000000000001e-06,12.515033600000002
9.12e-06,13.140032000000001
9.14e-06,12.827532800000002
9.16e-06,12.827532800000002
9.18e-06,13.140032000000001
9.2e-06,13.140032000000001
9.22e-06,12.827532800000002
9.24e-06,12.827532800000002
9.26e-06,12.827532800000002
9.280000000000001e-06,13.140032000000001
9.3e-06,12.827532800000002
9.32e-06,12.827532800000002
9.34e-06,12.827532800000002
9.36e-06,12.827532800000002
9.38e-06,13.140032000000001
9.4e-06,13.140032000000001
9.42e-06,13.140032000000001
9.44e-06,13.140032000000001
9.460000000000001e-06,12.827532800000002
9.48e-06,12.827532800000002
9.5e-06,13.140032000000001
9.52e-06,12.827532800000002
9.54e-06,12.827532800000002
9.56e-06,13.140032000000001
9.58e-06,12.827532800000002
9.6e-06,13.140032000000001
9.62e-06,12.827532800000002
9.640000000000001e-06,13.140032000000001
9.66e-06,13.140032000000001
9.68e-06,12.515033600000002
9.7e-06,12.827532800000002
9.72e-06,13.140032000000001
9.74e-06,12.827532800000002
9.76e-06,13.140032000000001
9.78e-06,13.140032000000001
9.800000000000001e-06,12.827532800000002
9.820000000000001e-06,12.827532800000002
9.84e-06,12.827532800000002
9.86e-06,12.827532800000002
9.88e-06,12.827532800000002
9.9e-06,13.140032000000001
9.92e-06,13.452531200000001
9.94e-06,13.452531200000001
9.96e-06,13.452531200000001
9.980000000000001e-06,13.7650304
1e-05,13.452531200000001
1.002e-05,13.452531200000001
1.004e-05,13.452531200000001
1.006e-05,13.452531200000001
1.008e-05,13.7650304
1.01e-05,13.7650304
1.012e-05,13.452531200000001
1.014e-05,13.452531200000001
1.0160000000000001e-05,13.7650304
1.018e-05,13.452531200000001
1.02e-05,13.452531200000001
1.022e-05,13.452531200000001
1.024e-05,13.452531200000001
1.026e-05,13.7650304
1.028e-05,13.452531200000001
1.03e-05,13.452531200000001
1.032e-05,13.452531200000001
1.0340000000000001e-05,13.452531200000001
1.036e-05,14.077529600000002
1.038e-05,13.7650304
1.04e-05,13.452531200000001
1.042e-05,13.452531200000001
1.044e-05,13.452531200000001
1.046e-05,14.390028800000001
1.048e-05,13.7650304
1.05e-05,13.452531200000001
1.0520000000000001e-05,13.7650304
1.054e-05,13.7650304
1.056e-05,13.7650304
1.058e-05,13.7650304
1.06e-05,14.077529600000002
1.062e-05,14.390028800000001
1.064e-05,14.077529600000002
1.066e-05,13.7650304
1.068e-05,14.077529600000002
1.0700000000000001e-05,13.7650304
1.072e-05,14.390028800000001
1.074e-05,14.390028800000001
1.076e-05,14.077529600000002
1.078e-05,14.077529600000002
1.08e-05,13.7650304
1.082e-05,14.077529600000002
1.084e-05,13.7650304
1.0860000000000001e-05,13.452531200000001
1.0880000000000001e-05,13.7650304
1.09e-05,14.077529600000002
1.092e-05,14.077529600000002
1.094e-05,14.077529600000002
1.096e-05,13.7650304
1.098e-05,14.077529600000002
1.1e-05,13.452531200000001
1.102e-05,13.452531200000001
1.1040000000000001e-05,14.390028800000001
1.106e-05,13.452531200000001
1.108e-05,13.7650304
1.11e-05,13.452531200000001
1.112e-05,13.452531200000001
1.114e-05,13.7650304
1.116e-05,13.452531200000001
1.118e-05,13.452531200000001
1.12e-05,13.7650304
1.1220000000000001e-05,13.7650304
1.124e-05,13.7650304
1.126e-05,13.452531200000001
1.128e-05,13.452531200000001
1.13e-05,13.452531200000001
1.132e-05,13.452531200000001
1.134e-05,13.452531200000001
1.136e-05,13.7650304
1.138e-05,12.827532800000002
1.1400000000000001e-05,13.7650304
1.142e-05,13.452531200000001
1.144e-05,13.140032000000001
1.146e-05,13.452531200000001
1.148e-05,13.140032000000001
1.15e-05,12.827532800000002
1.152e-05,13.452531200000001
1.154e-05,12.515033600000002
1.156e-05,12.827532800000002
1.1580000000000001e-05,12.827532800000002
1.16e-05,13.452531200000001
1.162e-05,13.140032000000001
1.164e-05,12.827532800000002
1.166e-05,13.140032000000001
1.168e-05,13.140032000000001
1.17e-05,13.140032000000001
1.172e-05,12.827532800000002
1.1740000000000001e-05,13.140032000000001
1.1760000000000001e-05,12.827532800000002
1.178e-05,13.140032000000001
1.18e-05,13.140032000000001
1.182e-05,13.140032000000001
1.184e-05,13.140032000000001
1.186e-05,12.515033600000002
1.188e-05,13.140032000000001
1.19e-05,12.827532800000002
1.1920000000000001e-05,12.827532800000002
1.1940000000000001e-05,13.140032000000001
1.196e-05,13.140032000000001
1.198e-05,12.827532800000002
1.2e-05,12.827532800000002
1.202e-05,12.827532800000002
1.204e-05,13.140032000000001
1.206e-05,13.140032000000001
1.208e-05,12.827532800000002
1.2100000000000001e-05,13.140032000000001
1.2120000000000001e-05,13.140032000000001
1.214e-05,12.827532800000002
1.216e-05,13.140032000000001
1.218e-05,13.140032000000001
1.22e-05,13.140032000000001
1.222e-05,13.140032000000001
1.224e-05,12.827532800000002
1.226e-05,13.140032000000001
1.2280000000000001e-05,12.827532800000002
1.23e-05,13.140032000000001
1.232e-05,13.452531200000001
1.234e-05,12.827532800000002
1.236e-05,13.7650304
1.238e-05,13.7650304
1.24e-05,13.452531200000001
1.242e-05,13.452531200000001
1.244e-05,13.452531200000001
1.2460000000000001e-05,13.7650304
1.248e-05,12.827532800000002
1.25e-05,13.452531200000001
1.252e-05,13.7650304
1.254e-05,13.452531200000001
1.256e-05,13.7650304
1.258e-05,13.452531200000001
1.26e-05,13.7650304
1.262e-05,13.7650304
1.2640000000000001e-05,13.7650304
1.266e-05,13.7650304
1.268e-05,13.452531200000001
1.27e-05,13.7650304
1.272e-05,13.7650304
1.274e-05,13.452531200000001
1.276e-05,13.452531200000001
1.278e-05,13.7650304
1.2800000000000001e-05,13.452531200000001
1.2820000000000001e-05,13.7650304
1.284e-05,13.7650304
1.286e-05,13.7650304
1.288e-05,13.452531200000001
1.29e-05,13.452531200000001
1.292e-05,13.452531200000001
1.294e-05,13.7650304
1.296e-05,13.452531200000001
1.2980000000000001e-05,13.7650304
1.3000000000000001e-05,14.390028800000001
1.302e-05,13.452531200000001
1.304e-05,13.7650304
1.306e-05,13.7650304
1.308e-05,13.452531200000001
1.31e-05,13.452531200000001
1.312e-05,13.7650304
1.314e-05,13.452531200000001
1.316e-05,13.452531200000001
1.318e-05,13.452531200000001
1.3199999999999999e-05,13.452531200000001
1.3219999999999999e-05,13.7650304
1.3240000000000002e-05,13.452531200000001
1.3260000000000002e-05,13.452531200000001
1.3280000000000002e-05,13.452531200000001
1.3300000000000001e-05,13.7650304
1.3320000000000001e-05,13.7650304
1.3340000000000001e-05,13.7650304
1.336e-05,13.452531200000001
1.338e-05,13.452531200000001
1.34e-05,13.452531200000001
1.342e-05,13.7650304
1.344e-05,13.452531200000001
1.346e-05,13.452531200000001
1.348e-05,13.452531200000001
1.35e-05,13.7650304
1.352e-05,13.7650304
1.3539999999999999e-05,13.452531200000001
1.3559999999999999e-05,13.452531200000001
1.3579999999999999e-05,13.452531200000001
1.3600000000000002e-05,13.7650304
1.3620000000000002e-05,13.7650304
1.3640000000000002e-05,13.452531200000001
1.3660000000000001e-05,13.452531200000001
1.3680000000000001e-05,13.7650304
1.3700000000000001e-05,13.7650304
1.372e-05,13.452531200000001
1.374e-05,12.827532800000002
1.376e-05,13.452531200000001
1.378e-05,13.452531200000001
1.38e-05,13.7650304
1.382e-05,13.452531200000001
1.384e-05,13.140032000000001
1.386e-05,13.7650304
1.388e-05,13.452531200000001
1.3899999999999999e-05,13.140032000000001
1.3919999999999999e-05,13.452531200000001
1.3939999999999999e-05,13.140032000000001
1.3960000000000002e-05,12.827532800000002
1.3980000000000002e-05,13.140032000000001
1.4000000000000001e-05,13.452531200000001
1.4020000000000001e-05,12.827532800000002
1.4040000000000001e-05,13.140032000000001
1.4060000000000001e-05,12.827532800000002
1.408e-05,13.140032000000001
1.41e-05,12.827532800000002
1.412e-05,13.140032000000001
1.414e-05,13.140032000000001
1.416e-05,12.827532800000002
1.418e-05,12.827532800000002
1.42e-05,12.827532800000002
1.422e-05,13.140032000000001
1.424e-05,13.140032000000001
1.4259999999999999e-05,12.827532800000002
1.4279999999999999e-05,12.515033600000002
1.4300000000000002e-05,12.827532800000002
1.4320000000000002e-05,12.827532800000002
1.4340000000000002e-05,12.515033600000002
1.4360000000000001e-05,13.140032000000001
1.4380000000000001e-05,13.140032000000001
1.4400000000000001e-05,12.515033600000002
1.4420000000000001e-05,13.140032000000001
1.444e-05,13.140032000000001
1.446e-05,12.827532800000002
1.448e-05,13.140032000000001
1.45e-05,12.827532800000002
1.452e-05,12.827532800000002
1.454e-05,13.140032000000001
1.456e-05,12.827532800000002
1.458e-05,12.827532800000002
1.4599999999999999e-05,12.515033600000002
1.4619999999999999e-05,12.827532800000002
1.4639999999999999e-05,13.452531200000001
